Score,Outfit Index,Image Paths
1.4361722469329834,84,"['generatedOutfits/84\\pants.jpg', 'generatedOutfits/84\\shirt.jpg', 'generatedOutfits/84\\shoe.jpg']"
1.3936021029949188,1,"['generatedOutfits/1\\pants.jpg', 'generatedOutfits/1\\shirt.jpg', 'generatedOutfits/1\\shoe.jpg']"
1.368037611246109,2,"['generatedOutfits/2\\pants.jpg', 'generatedOutfits/2\\shirt.jpg', 'generatedOutfits/2\\shoe.jpg']"
1.3274714350700378,53,"['generatedOutfits/53\\pants.jpg', 'generatedOutfits/53\\shirt.jpg', 'generatedOutfits/53\\shoe.jpg']"
1.3176150619983673,28,"['generatedOutfits/28\\jacket.jpg', 'generatedOutfits/28\\pants.jpg', 'generatedOutfits/28\\shoe.jpg']"
1.2940309643745422,56,"['generatedOutfits/56\\pants.jpg', 'generatedOutfits/56\\shirt.jpg', 'generatedOutfits/56\\shoe.jpg']"
1.277024507522583,77,"['generatedOutfits/77\\pants.jpg', 'generatedOutfits/77\\shirt.jpg', 'generatedOutfits/77\\shoe.jpg']"
1.266896516084671,45,"['generatedOutfits/45\\pants.jpg', 'generatedOutfits/45\\shirt.jpg', 'generatedOutfits/45\\shoe.jpg']"
1.2500569820404053,7,"['generatedOutfits/7\\jacket.jpg', 'generatedOutfits/7\\pants.jpg', 'generatedOutfits/7\\shoe.jpg']"
1.2398976981639862,70,"['generatedOutfits/70\\pants.jpg', 'generatedOutfits/70\\shirt.jpg', 'generatedOutfits/70\\shoe.jpg']"
1.2311055660247803,99,"['generatedOutfits/99\\pants.jpg', 'generatedOutfits/99\\shirt.jpg', 'generatedOutfits/99\\shoe.jpg']"
1.2296770215034485,24,"['generatedOutfits/24\\pants.jpg', 'generatedOutfits/24\\shirt.jpg', 'generatedOutfits/24\\shoe.jpg']"
1.226385921239853,94,"['generatedOutfits/94\\pants.jpg', 'generatedOutfits/94\\shirt.jpg', 'generatedOutfits/94\\shoe.jpg']"
1.2048652470111847,6,"['generatedOutfits/6\\jacket.jpg', 'generatedOutfits/6\\pants.jpg', 'generatedOutfits/6\\shoe.jpg']"
1.1794219017028809,61,"['generatedOutfits/61\\pants.jpg', 'generatedOutfits/61\\shirt.jpg', 'generatedOutfits/61\\shoe.jpg']"
1.1570694744586945,79,"['generatedOutfits/79\\pants.jpg', 'generatedOutfits/79\\shirt.jpg', 'generatedOutfits/79\\shoe.jpg']"
1.1559227406978607,95,"['generatedOutfits/95\\pants.jpg', 'generatedOutfits/95\\shirt.jpg', 'generatedOutfits/95\\shoe.jpg']"
1.151810884475708,46,"['generatedOutfits/46\\pants.jpg', 'generatedOutfits/46\\shirt.jpg', 'generatedOutfits/46\\shoe.jpg']"
1.1499823331832886,9,"['generatedOutfits/9\\jacket.jpg', 'generatedOutfits/9\\pants.jpg', 'generatedOutfits/9\\shoe.jpg']"
1.1480179131031036,22,"['generatedOutfits/22\\pants.jpg', 'generatedOutfits/22\\shirt.jpg', 'generatedOutfits/22\\shoe.jpg']"
1.138680875301361,15,"['generatedOutfits/15\\pants.jpg', 'generatedOutfits/15\\shirt.jpg', 'generatedOutfits/15\\shoe.jpg']"
1.1153572499752045,88,"['generatedOutfits/88\\pants.jpg', 'generatedOutfits/88\\shirt.jpg', 'generatedOutfits/88\\shoe.jpg']"
1.1118500530719757,54,"['generatedOutfits/54\\pants.jpg', 'generatedOutfits/54\\shirt.jpg', 'generatedOutfits/54\\shoe.jpg']"
1.108736902475357,23,"['generatedOutfits/23\\pants.jpg', 'generatedOutfits/23\\shirt.jpg', 'generatedOutfits/23\\shoe.jpg']"
1.0928357541561127,67,"['generatedOutfits/67\\jacket.jpg', 'generatedOutfits/67\\pants.jpg', 'generatedOutfits/67\\shoe.jpg']"
1.0867577195167542,71,"['generatedOutfits/71\\pants.jpg', 'generatedOutfits/71\\shirt.jpg', 'generatedOutfits/71\\shoe.jpg']"
1.0766195058822632,73,"['generatedOutfits/73\\pants.jpg', 'generatedOutfits/73\\shirt.jpg', 'generatedOutfits/73\\shoe.jpg']"
1.0645240098237991,8,"['generatedOutfits/8\\jacket.jpg', 'generatedOutfits/8\\pants.jpg', 'generatedOutfits/8\\shoe.jpg']"
1.0644945800304413,83,"['generatedOutfits/83\\pants.jpg', 'generatedOutfits/83\\shirt.jpg', 'generatedOutfits/83\\shoe.jpg']"
1.0627749860286713,34,"['generatedOutfits/34\\pants.jpg', 'generatedOutfits/34\\shirt.jpg', 'generatedOutfits/34\\shoe.jpg']"
1.0607949495315552,86,"['generatedOutfits/86\\pants.jpg', 'generatedOutfits/86\\shirt.jpg', 'generatedOutfits/86\\shoe.jpg']"
1.047376573085785,27,"['generatedOutfits/27\\pants.jpg', 'generatedOutfits/27\\shirt.jpg', 'generatedOutfits/27\\shoe.jpg']"
1.0333158075809479,89,"['generatedOutfits/89\\pants.jpg', 'generatedOutfits/89\\shirt.jpg', 'generatedOutfits/89\\shoe.jpg']"
1.0205063223838806,36,"['generatedOutfits/36\\pants.jpg', 'generatedOutfits/36\\shirt.jpg', 'generatedOutfits/36\\shoe.jpg']"
1.0073226392269135,18,"['generatedOutfits/18\\pants.jpg', 'generatedOutfits/18\\shirt.jpg', 'generatedOutfits/18\\shoe.jpg']"
1.0065047889947891,47,"['generatedOutfits/47\\pants.jpg', 'generatedOutfits/47\\shirt.jpg', 'generatedOutfits/47\\shoe.jpg']"
1.0057786256074905,78,"['generatedOutfits/78\\pants.jpg', 'generatedOutfits/78\\shirt.jpg', 'generatedOutfits/78\\shoe.jpg']"
0.9965271055698395,80,"['generatedOutfits/80\\pants.jpg', 'generatedOutfits/80\\shirt.jpg', 'generatedOutfits/80\\shoe.jpg']"
0.9941524267196655,21,"['generatedOutfits/21\\pants.jpg', 'generatedOutfits/21\\shirt.jpg', 'generatedOutfits/21\\shoe.jpg']"
0.9928352236747742,30,"['generatedOutfits/30\\pants.jpg', 'generatedOutfits/30\\shirt.jpg', 'generatedOutfits/30\\shoe.jpg']"
0.9925933480262756,12,"['generatedOutfits/12\\pants.jpg', 'generatedOutfits/12\\shirt.jpg', 'generatedOutfits/12\\shoe.jpg']"
0.9902746975421906,76,"['generatedOutfits/76\\pants.jpg', 'generatedOutfits/76\\shirt.jpg', 'generatedOutfits/76\\shoe.jpg']"
0.9871435761451721,26,"['generatedOutfits/26\\jacket.jpg', 'generatedOutfits/26\\pants.jpg', 'generatedOutfits/26\\shirt.jpg']"
0.9713294506072998,41,"['generatedOutfits/41\\pants.jpg', 'generatedOutfits/41\\shirt.jpg', 'generatedOutfits/41\\shoe.jpg']"
0.9542860090732574,20,"['generatedOutfits/20\\pants.jpg', 'generatedOutfits/20\\shirt.jpg', 'generatedOutfits/20\\shoe.jpg']"
0.9502663910388947,48,"['generatedOutfits/48\\pants.jpg', 'generatedOutfits/48\\shirt.jpg', 'generatedOutfits/48\\shoe.jpg']"
0.9493151158094406,3,"['generatedOutfits/3\\pants.jpg', 'generatedOutfits/3\\shirt.jpg', 'generatedOutfits/3\\shoe.jpg']"
0.9460726082324982,44,"['generatedOutfits/44\\pants.jpg', 'generatedOutfits/44\\shirt.jpg', 'generatedOutfits/44\\shoe.jpg']"
0.9323687851428986,33,"['generatedOutfits/33\\pants.jpg', 'generatedOutfits/33\\shirt.jpg', 'generatedOutfits/33\\shoe.jpg']"
0.9311324656009674,66,"['generatedOutfits/66\\pants.jpg', 'generatedOutfits/66\\shirt.jpg', 'generatedOutfits/66\\shoe.jpg']"
0.9295467436313629,35,"['generatedOutfits/35\\pants.jpg', 'generatedOutfits/35\\shirt.jpg', 'generatedOutfits/35\\shoe.jpg']"
0.9175866693258286,39,"['generatedOutfits/39\\pants.jpg', 'generatedOutfits/39\\shirt.jpg', 'generatedOutfits/39\\shoe.jpg']"
0.9175866693258286,43,"['generatedOutfits/43\\pants.jpg', 'generatedOutfits/43\\shirt.jpg', 'generatedOutfits/43\\shoe.jpg']"
0.9173029065132141,81,"['generatedOutfits/81\\pants.jpg', 'generatedOutfits/81\\shirt.jpg', 'generatedOutfits/81\\shoe.jpg']"
0.9114871323108673,96,"['generatedOutfits/96\\pants.jpg', 'generatedOutfits/96\\shirt.jpg', 'generatedOutfits/96\\shoe.jpg']"
0.909681499004364,59,"['generatedOutfits/59\\pants.jpg', 'generatedOutfits/59\\shirt.jpg', 'generatedOutfits/59\\shoe.jpg']"
0.8846264779567719,72,"['generatedOutfits/72\\pants.jpg', 'generatedOutfits/72\\shirt.jpg', 'generatedOutfits/72\\shoe.jpg']"
0.8755332678556442,58,"['generatedOutfits/58\\pants.jpg', 'generatedOutfits/58\\shirt.jpg', 'generatedOutfits/58\\shoe.jpg']"
0.857775554060936,63,"['generatedOutfits/63\\pants.jpg', 'generatedOutfits/63\\shirt.jpg', 'generatedOutfits/63\\shoe.jpg']"
0.8374274671077728,52,"['generatedOutfits/52\\pants.jpg', 'generatedOutfits/52\\shirt.jpg', 'generatedOutfits/52\\shoe.jpg']"
0.7764372229576111,82,"['generatedOutfits/82\\pants.jpg', 'generatedOutfits/82\\shirt.jpg', 'generatedOutfits/82\\shoe.jpg']"
